Italiano,Espanol
affrontare, enfretar afrontar abordar
analizzare, analizar
attraversare,cruzar
cacciare pescare,cazar pescar
zittirsi,callarse
compiere,cumplir
consigliare,recomendar aconsejar
controllare verificare,controlar verificar
convincere far credere,convencer hacer creer
condividere,compartir
desiderare,desear
provare,intentar
dipendere,depender
dirigere,dirigir
distinguere,distinguir
distribuire,distribuir
fissare,fijar
generare,generar
gestire,gestionar
ha affrontato,se enfretó al
incaricarsi,encargarse
individuare localizzare,detectar localizar
inserire,insertar
lanciare, lanzar tirar
legare,ligar atar
nascondere,escondir
occupare,ocupar
pesare,pesar
piantare,plantar
proteggere,proteger
realizzare eseguire, realizar ejecutar
rendersi conto,darse cuenta 
resistere,resistir
revisionare,revisar
ricevere,recibir
seminare,sembrar
sfidare,desafiar
spingere,empujar
strisciare,arrastrarse
supponere,suponer
svegliar(si),despertar(se)
tornare,regresar
garantire,garantizar
dirigere,dirigir
raccogliere,recoger
registrare,grabar
ospitare,alojar
ottenere,conseguir
spegnere/accendere,apagar/encender
prenotare,reservar
versare,verter/echar
finire terminare-appena fatto,acabar-terminar/acabar de
scherzare,bromear
scappare,escapar
ostacolare,dificultar
impedire,impedir
inviare,enviar
risolvere,solucionar resolver
funzionare,funcionar
divertire,devertir
